X,Y,OBJECTID,LOCATION,STATION,CODE,ADDRESS,ZIP,PASS_OP,PASS_NETWO,COMM_OP,COMM_NETWO,BUS_ROUTES,TRANSIT,AIRPORT,STATION_TY,INTERMODAL,DIST,CO
-13812907.458,4992997.7823,64,Transit Plaza,ARCATA,ARC,925 E St. (between 9th & 10th),95521, , , , ,7, , ,2,0,1,HUM
-13821345.9345,4983301.0217,65,Stantons Coffee Shop,EUREKA,EKA,5th & L Streets,95501, , , , ,7, , ,2,0,1,HUM
-13819942.2306,4951245.3269,66,Pepper's Restaurant,FORTUNA,FTA,719 South Fortuna Blvd.,95540, , , , ,7, , ,2,0,1,HUM
-13814889.5058,4936624.442,67,Scotia Inn,SCOTIA/RIO DELL,RDS,"Main & Mill St., Scotia",95565, , , , ,7, , ,2,0,1,HUM
-13780804.5379,4880140.7399,68,Waterwheel Restaurant,GARBERVILLE,GBV,924 Redwood Drive,95440, , , , ,7, , ,2,0,1,HUM
-13815462.0455,5007976.0176,69,Arcata Airport Terminal,McKINLEYVILLE,MKV,Bus Zone in Front of Lobby,95521, , , , ,7, , ,2,0,1,HUM
-13247948.5529,4214722.3681,70,Amtrak Station,BAKERSFIELD,BFD,601 Truxton Ave.,93301,Amtrak,San Joaquin, , ,"1,9,10,12,19",Golden Empire Transit, ,5,1,6,KER
-13155024.5661,4171001.37,71,Carls Jr. Restaurant,MOJAVE,MOJ,15900 Sierra Highway,93501, , , , ,"9,12", , ,2,0,6,KER
-13284028.0557,4244921.3493,72,Amtrak Station,WASCO,WAC,700 G St.,93280,Amtrak,San Joaquin, , , ,City of Wasco Dial-A-Ride, ,4,1,6,KER
-13186591.6499,4181875.2812,73,Burger King,TEHACHAPI,TEH,Mulberry St. at Tehachapi Blvd.,93561, , , , ,"9,12", , ,2,0,6,KER
-13309058.0903,4314119.7882,74,Amtrak Station,CORCORAN,COC,Whitely & Otis Ave.,93212,Amtrak,San Joaquin, , , ,"Kings Area Rural Transit,Corcoran Area Transit", ,4,1,6,KIN
-13319548.199,4345531.3845,75,Amtrak Station,HANFORD,HNF,200 Santa Fe Ave. #A,93230,Amtrak,San Joaquin, , ,"18a,18b",Kings Area Rural Transit, ,5,1,6,KIN
-13334425.9446,4342378.5254,76,Chamber of Commerce,LEMOORE,LMC,300 E St.,93245, , , , ,18a, , ,2,0,6,KIN
-13353950.2979,4298997.0599,77,Carls Jr. Restaurant,KETTLEMAN CITY,KTC,Highway 41 at I-5,93239, , , , ,18a, , ,2,0,6,KIN
-13347761.5187,4335838.0605,78,Naval Air Station,LEMOORE (N),LMN,"Main Gate, Hwy 198 at 25th Ave.",93245, , , , ,18a, , ,2,0,6,KIN
-13174943.1971,4054705.0616,79,Amtrak Station,BURBANK - Bob Hope Airport,BUR,3750 Empire Ave.,91505,Amtrak,Pacific Surfliner,Metrolink,"Burbank-Bob Hope Airport,Ventura County Line","1c,4",Burbank Bus,Bob Hope Burbank Airport,8,1,7,LA
-13104135.1821,4041412.5925,80,Metrolink Station,CLAREMONT,CLM,200 West 1st St.,91711, , ,Metrolink,San Bernardino Line,19, , ,3,1,7,LA
-13134831.0853,4098987.087,81,Come & Save Grocery,LITTLEROCK,LTR,7715 Pearblossom Hwy (Hwy 138),93543, , , , ,12, , ,2,0,7,LA
-13156798.0526,3998517.0863,82,Denny's Restaurant,LONG BEACH,LBC,601 N. Long Beach Blvd.,90802, , , , ,1b, , ,2,0,7,LA
-13156935.4279,3995555.0705,83,Queen Mary,LONG BEACH,LBQ,1126 Queens Highway,90802, , , , ,1b, , ,2,0,7,LA
-13162129.8998,4036369.888,84,Union Station,LOS ANGELES,LAX,800 N. Alameda St.,90012,Amtrak,"Coast Starlight,Pacific Surfliner,Southwest Chief,Sunset Limited,Texas Eagle",Metrolink,"91 Line,Antelope Valley Line,Burbank-Bob Hope Airport,Orange County Line,Riverside Line,San Bernardino Line,Ventura County Line","1,4","LAMTA Metro and buses,LADOT Transit-DASH",LAMTA bus to LAX,8,1,7,LA
-13151436.1824,4048062.7091,85,Hilton Hotel,PASADENA,PAS,150 S. Los Robles at Cordova,91101, , , , ,19, , ,2,0,7,LA
-13168248.4033,3993377.8723,86,Public Library,SAN PEDRO,SPO,931 South Gaffey St.,90731, , , , ,1b, , ,2,0,7,LA
-13194382.0557,4079902.4846,87,Newhall Metrolink Station,SANTA CLARITA/NEWHALL,NHL,24300 Railroad Ave. at Market,91321, , ,Metrolink,Antelope Valley Line,1, , ,3,1,7,LA
